Date,Open,High,Low,Close,Volume,Adj Close
2015-06-19,21.0,22.25,20.5,20.851,2636100,19.659488
2015-06-22,21.25,21.799999,20.030001,20.030001,821900,18.885404
2015-06-23,19.67,20.0,17.731001,17.844999,1500100,16.825263
2015-06-24,17.5,17.5,16.549999,16.9,1171400,15.934264
2015-06-25,16.799999,16.959999,14.663,14.99,2191400,14.13341
2015-06-26,14.99,15.74,14.8,14.98,1242300,14.123981
2015-06-29,14.97,15.85,14.97,15.5,1464600,14.614266
2015-07-01,16.0,16.68,14.6,16.51,11615400,15.566551
2015-07-02,16.43,16.51,15.9,16.51,6632000,15.566551
2015-07-06,16.0,16.18,15.66,16.040001,3389400,15.123409
2015-07-07,15.89,16.120001,14.8,14.99,4827100,14.13341
2015-07-08,14.07,14.1,12.32,13.02,9970700,12.275984
2015-07-09,13.04,13.23,11.81,11.81,10485200,11.135129
2015-07-10,11.92,12.25,11.145,11.66,8528100,10.9937
2015-07-13,11.23,11.66,11.06,11.4,6951500,10.748557
2015-07-14,11.24,12.76,11.24,12.66,6311800,11.936555
2015-07-15,12.72,13.63,12.5,12.99,4837100,12.247698
2015-07-16,12.82,13.17,12.76,13.11,4385400,12.36084
2015-07-17,13.04,13.1,12.92,13.04,2720600,12.294841
2015-07-20,12.86,12.93,12.39,12.49,4101900,11.77627
2015-07-21,12.37,12.55,12.33,12.38,2186100,11.672556
2015-07-22,12.15,12.45,11.64,12.04,3387700,11.351985
2015-07-23,12.06,12.21,11.73,11.85,2225000,11.172843
2015-07-24,11.7,11.76,11.24,11.31,3445400,10.663701
2015-07-27,11.24,11.25,10.655,10.75,3738900,10.135701
2015-07-28,10.35,11.31,9.86,11.3,3192600,10.654272
2015-07-29,11.04,12.3,10.958,12.19,2757400,11.493413
2015-07-30,11.55,11.94,11.248,11.59,2405600,11.444043
2015-07-31,11.48,11.5,10.82,10.92,2664800,10.782481
2015-08-03,10.89,10.95,10.46,10.64,2471600,10.506007
2015-08-04,10.5,10.671,9.86,9.97,3585500,9.844445
2015-08-05,9.76,10.16,9.33,9.47,7573000,9.350741
2015-08-06,9.56,12.26,9.51,11.1,7461000,10.960214
2015-08-07,11.21,11.28,10.25,11.01,3591500,10.871348
2015-08-10,11.06,11.5,10.8,11.1,2923900,10.960214
2015-08-11,11.0,11.14,10.46,10.69,1639200,10.555377
2015-08-12,10.26,10.65,9.76,10.02,2453700,9.893815
2015-08-13,9.91,11.23,9.62,10.79,2375500,10.654118
2015-08-14,10.62,11.0,10.27,10.61,1290300,10.476384
2015-08-17,10.58,11.123,10.56,10.98,2151900,10.841725
2015-08-18,10.78,10.79,9.862,10.02,3776100,9.893815
2015-08-19,9.93,9.96,9.62,9.76,1829400,9.637089
2015-08-20,10.03,10.03,9.34,9.62,3043300,9.498852
2015-08-21,9.5,9.75,9.06,9.2,2015800,9.084141
2015-08-24,8.83,9.585,8.3,9.2,2239700,9.084141
2015-08-25,9.44,9.52,8.3,8.31,2859000,8.20535
2015-08-26,8.54,9.14,8.36,9.12,2748400,9.005149
2015-08-27,9.22,9.73,9.14,9.57,2765400,9.449482
2015-08-28,9.05,9.71,9.05,9.68,1947600,9.558097
2015-08-31,9.37,9.82,9.37,9.67,1878100,9.548223
2015-09-01,9.28,9.65,9.26,9.37,2239100,9.252
2015-09-02,9.2,9.42,8.64,8.67,3103700,8.560816
2015-09-03,8.8,10.03,8.71,9.39,3929200,9.271749
2015-09-04,9.27,9.34,8.96,8.97,1683600,8.857038
2015-09-08,9.05,9.16,8.99,9.12,2074500,9.005149
2015-09-09,9.35,9.63,9.26,9.3,2977900,9.182882
2015-09-10,9.4,9.48,9.055,9.16,2363100,9.044645
2015-09-11,9.23,9.37,9.03,9.07,2222900,8.955778
2015-09-14,9.1,9.1,8.79,8.96,1666000,8.847164
2015-09-15,9.03,9.44,9.03,9.4,1911600,9.281622
2015-09-16,9.45,9.79,9.36,9.61,1925300,9.488978
2015-09-17,9.62,9.86,9.4,9.45,1227600,9.330993
2015-09-18,9.32,9.37,8.72,8.76,3589800,8.649683
2015-09-21,8.94,9.19,8.73,9.14,1975800,9.024897
2015-09-22,9.0,9.02,8.47,8.69,1576800,8.580564
2015-09-23,8.64,9.15,7.89,7.98,2612700,7.879505
2015-09-24,7.94,7.97,7.2,7.58,4411800,7.484542
2015-09-25,7.72,7.74,7.05,7.06,3414000,6.971091
2015-09-28,7.0,7.04,6.435,6.48,4068500,6.398395
2015-09-29,6.56,6.7,6.15,6.18,4047600,6.102173
2015-09-30,6.25,6.49,5.94,6.47,4616600,6.388521
2015-10-01,6.5,6.63,6.31,6.57,2215500,6.487262
2015-10-02,6.5,7.215,6.46,7.08,2885600,6.990839
2015-10-05,7.23,7.76,7.15,7.56,4462600,7.464794
2015-10-06,7.57,8.46,7.55,8.21,3878400,8.106609
2015-10-07,8.25,8.6,7.745,7.87,4017900,7.77089
2015-10-08,8.26,8.58,7.0,8.43,6623500,8.323839
2015-10-09,8.55,8.68,7.93,8.03,2952200,7.928875
2015-10-12,8.03,8.15,7.795,8.05,1296600,7.948624
2015-10-13,7.93,7.99,7.32,7.34,1585300,7.247565
2015-10-14,7.35,7.43,7.13,7.21,2139600,7.119202
2015-10-15,7.2,7.2,6.9,7.07,2159500,6.980965
2015-10-16,7.1,7.17,6.35,6.39,2677700,6.309528
2015-10-19,6.39,6.46,5.95,6.08,2638300,6.003432
2015-10-20,6.11,6.47,6.01,6.41,2369400,6.329277
2015-10-21,6.5,6.55,6.2,6.26,1373400,6.181166
2015-10-22,6.4,6.54,6.23,6.35,1437400,6.270032
2015-10-23,6.42,6.66,6.34,6.56,1341000,6.477388
2015-10-26,6.75,6.75,6.42,6.45,1120100,6.368773
2015-10-27,6.43,6.57,6.213,6.56,1142900,6.477388
2015-10-28,6.64,6.83,6.53,6.66,1762300,6.576128
2015-10-29,6.64,6.945,6.59,6.91,1358200,6.82298
2015-10-30,6.78,7.0,6.7,6.93,1407400,6.842728
2015-11-02,6.9,7.72,6.85,7.6,2071300,7.504291
2015-11-03,7.35,8.72,7.35,8.48,3794100,8.373208
2015-11-04,8.44,8.8,8.05,8.13,4209700,8.027616
2015-11-05,8.32,8.65,7.3,7.52,2561100,7.425298
2015-11-06,7.37,7.5,6.665,6.73,2996400,6.645247
2015-11-09,6.6,6.68,6.35,6.43,1819100,6.349025
2015-11-10,6.33,6.42,6.1,6.15,2550500,6.101016
2015-11-11,6.18,6.21,5.9,5.9,3530400,5.853007
2015-11-12,5.92,5.95,5.75,5.85,2166300,5.803406
2015-11-13,5.82,5.9,5.63,5.69,1366300,5.64468
2015-11-16,5.78,5.97,5.655,5.86,1940700,5.813326
2015-11-17,5.82,6.01,5.6,5.62,5757800,5.575237
2015-11-18,5.63,5.89,5.605,5.84,4076900,5.793485
2015-11-19,5.85,6.26,5.85,6.04,3733900,5.991892
2015-11-20,6.05,6.14,5.875,5.99,2116400,5.94229
2015-11-23,5.99,6.02,5.76,5.94,2500900,5.892689
2015-11-24,5.94,6.26,5.94,6.15,2704900,6.101016
2015-11-25,6.15,6.39,6.09,6.31,1349600,6.259742
2015-11-27,6.37,6.44,6.3,6.34,503700,6.289503
2015-11-30,6.31,6.4,6.2,6.25,1155600,6.20022
2015-12-01,6.25,6.34,5.85,6.05,2204100,6.001813
2015-12-02,6.0,6.19,5.9,6.12,1985200,6.071255
